Wall time,Step,Value
1654072237.501136,0,410.7744140625
1654072237.826818,10,394.00762939453125
1654072238.147261,20,389.38665771484375
1654072238.461959,30,387.93121337890625
1654072238.779754,40,386.74365234375
1654072239.09491,50,385.3648986816406
1654072239.413469,60,383.3436279296875
1654072239.729871,70,381.6546325683594
1654072240.047852,80,379.9612731933594
1654072240.36636,90,377.6271667480469
1654072240.683485,100,373.28717041015625
1654072241.000781,110,363.9866943359375
1654072241.31935,120,359.20294189453125
1654072241.636664,130,350.45404052734375
1654072241.951509,140,344.5419921875
1654072242.270647,150,339.4953308105469
1654072242.584508,160,334.9250793457031
1654072242.901296,170,330.7441101074219
1654072243.216905,180,327.30792236328125
1654072243.532839,190,323.1186218261719
1654072243.847741,200,316.9939270019531
1654072244.167238,210,305.6025085449219
1654072244.48642,220,283.3190612792969
1654072244.801762,230,251.93710327148438
1654072245.119568,240,217.86404418945312
1654072245.437915,250,188.46917724609375
1654072245.755309,260,161.6893310546875
1654072246.074044,270,137.38392639160156
1654072246.39133,280,128.9182891845703
1654072246.707742,290,96.66342163085938
1654072247.024033,300,78.71270751953125
1654072247.344172,310,60.486663818359375
1654072247.663404,320,48.197330474853516
1654072247.979409,330,40.78094482421875
1654072248.298844,340,30.86745834350586
1654072248.61531,350,23.77754783630371
1654072248.933212,360,18.154539108276367
1654072249.250128,370,15.44725227355957
1654072249.567746,380,14.432184219360352
1654072249.88698,390,11.945332527160645
1654072250.206025,400,13.915116310119629
1654072250.523555,410,11.546667098999023
1654072250.842184,420,10.481871604919434
1654072251.158915,430,8.851916313171387
1654072251.476511,440,8.231086730957031
1654072251.794818,450,7.466825008392334
1654072252.112376,460,7.1590986251831055
1654072252.429402,470,19.667831420898438
1654072252.748783,480,8.141825675964355
1654072253.068003,490,7.180385589599609
1654072253.382706,500,6.2593302726745605
1654072253.698833,510,5.367000579833984
1654072254.017241,520,5.015664100646973
1654072254.33606,530,4.6920599937438965
1654072254.653931,540,4.461372375488281
1654072254.971805,550,4.249205112457275
1654072255.289505,560,4.051880836486816
1654072255.607169,570,4.042148113250732
1654072255.924499,580,16.357555389404297
1654072256.242413,590,5.302655220031738
1654072256.558246,600,4.443488597869873
1654072256.875929,610,3.6270244121551514
1654072257.195102,620,3.4924440383911133
1654072257.509539,630,3.1853532791137695
1654072257.824661,640,3.0314221382141113
1654072258.141074,650,2.875826358795166
1654072258.458683,660,2.8390655517578125
1654072258.777933,670,4.756048202514648
1654072259.094881,680,3.5103588104248047
1654072259.413333,690,4.942899703979492
1654072259.729435,700,3.339412212371826
1654072260.047203,710,2.794231414794922
1654072260.362488,720,2.525115966796875
1654072260.681538,730,2.308114767074585
1654072261.001394,740,2.3141050338745117
1654072261.319024,750,3.8563714027404785
1654072261.636712,760,2.264362335205078
1654072261.954075,770,2.165910482406616
1654072262.272376,780,2.0877647399902344
1654072262.588553,790,2.2226619720458984
1654072262.909832,800,2.0489535331726074
1654072263.229778,810,2.2507503032684326
1654072263.545553,820,3.9100542068481445
1654072263.864433,830,1.8708683252334595
1654072264.183852,840,4.356813430786133
1654072264.500618,850,2.518712282180786
1654072264.81747,860,2.021437168121338
1654072265.138392,870,2.1288819313049316
1654072265.456735,880,2.373952865600586
1654072265.774695,890,1.839715838432312
1654072266.091076,900,2.2416584491729736
1654072266.406294,910,4.671360015869141
1654072266.723676,920,3.58656644821167
1654072267.042245,930,1.6465075016021729
1654072267.360973,940,1.6365106105804443
1654072267.679122,950,1.8194657564163208
1654072267.998157,960,1.484645962715149
1654072268.313979,970,1.3966426849365234
1654072268.634689,980,2.1597084999084473
1654072268.953998,990,4.0025634765625
